photon_energy,axion_mass,flux
1.972972972972972805e+00,0.000000000000000000e+00,6.141920992991138029e+00
1.991891891891891975e+00,0.000000000000000000e+00,6.190821111949766475e+00
2.010810810810810256e+00,0.000000000000000000e+00,6.238692955590518174e+00
2.029729729729729204e+00,0.000000000000000000e+00,6.285534113198750106e+00
2.048648648648648152e+00,0.000000000000000000e+00,6.331342669318286376e+00
2.067567567567567099e+00,0.000000000000000000e+00,6.376117190117808420e+00
2.086486486486486491e+00,0.000000000000000000e+00,6.419856709967929120e+00
2.105405405405405439e+00,0.000000000000000000e+00,6.462560718228560930e+00
2.124324324324323943e+00,0.000000000000000000e+00,6.504229146245668503e+00
2.143243243243242890e+00,0.000000000000000000e+00,6.544862354556661543e+00
2.162162162162161838e+00,0.000000000000000000e+00,6.584461120303485515e+00
2.181081081081080786e+00,0.000000000000000000e+00,6.623026624852453637e+00
2.199999999999999734e+00,0.000000000000000000e+00,6.660560441619794325e+00
2.218918918918918681e+00,0.000000000000000000e+00,6.697064524101819849e+00
2.237837837837837629e+00,0.000000000000000000e+00,6.732541194108512705e+00
2.256756756756756577e+00,0.000000000000000000e+00,6.766993130199356443e+00
2.275675675675675524e+00,0.000000000000000000e+00,6.800423356320115964e+00
2.294594594594594028e+00,0.000000000000000000e+00,6.832835230639354052e+00
2.313513513513512976e+00,0.000000000000000000e+00,6.864232434583004583e+00
2.332432432432431924e+00,0.000000000000000000e+00,6.894618962066001444e+00
2.351351351351350871e+00,0.000000000000000000e+00,6.923999108919206336e+00
2.370270270270269819e+00,0.000000000000000000e+00,6.952377462510217931e+00
2.389189189189188767e+00,0.000000000000000000e+00,6.979758891556554268e+00
2.408108108108107714e+00,0.000000000000000000e+00,7.006148536129586546e+00
2.427027027027026662e+00,0.000000000000000000e+00,7.031551797847594543e+00
2.445945945945945166e+00,0.000000000000000000e+00,7.055974330256384874e+00
2.464864864864864558e+00,0.000000000000000000e+00,7.079422029395657567e+00
2.483783783783783505e+00,0.000000000000000000e+00,7.101901024549502672e+00
2.502702702702702453e+00,0.000000000000000000e+00,7.123417669179269218e+00
2.521621621621621401e+00,0.000000000000000000e+00,7.143978532037009721e+00
2.540540540540540349e+00,0.000000000000000000e+00,7.163590388457761193e+00
2.559459459459459296e+00,0.000000000000000000e+00,7.182260211828767282e+00
2.578378378378378244e+00,0.000000000000000000e+00,7.199995165233850969e+00
2.597297297297297192e+00,0.000000000000000000e+00,7.216802593271141930e+00
2.616216216216215695e+00,0.000000000000000000e+00,7.232690014042129967e+00
2.635135135135134643e+00,0.000000000000000000e+00,7.247665111310261921e+00
2.654054054054053591e+00,0.000000000000000000e+00,7.261735726827176940e+00
2.672972972972972538e+00,0.000000000000000000e+00,7.274909852824563927e+00
2.691891891891891486e+00,0.000000000000000000e+00,7.287195624669776883e+00
